cluster,rank,title,genres,overview,centroid_distance
0,1,Psychokinesis,"[""Fantasy"", ""Action"", ""Comedy""]","An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.",0.5494874
0,2,Hello World,"[""Animation"", ""Romance"", ""Science Fiction"", ""Drama""]","A shy high schooler in Kyoto meets a man claiming to be his future self, who tells him he’s hacked into the past to save their first love.",0.55714387
0,3,Black Box,"[""Horror"", ""Science Fiction""]","After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",0.5574293
0,4,A-X-L,"[""Science Fiction"", ""Action"", ""Adventure"", ""Family""]",The life of a teenage boy is forever altered by a chance encounter with cutting edge military technology.,0.5583705
0,5,Total Recall,"[""Action"", ""Science Fiction"", ""Thriller""]","Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",0.55915964
1,1,Dragon,"[""Drama"", ""Action"", ""Thriller""]","A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",0.51601064
1,2,Ong-Bak,"[""Action"", ""Crime"", ""Thriller""]","When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",0.5321674
1,3,Fearless,"[""Drama"", ""Action""]","After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",0.5352633
1,4,Ip Man: The Final Fight,"[""Action"", ""Drama""]",Ip Man reluctantly begins a series of challenges from rival kung fu schools and is soon drawn into the dark and dangerous world of the Triads.,0.5389877
1,5,Hard Target 2,"[""Action"", ""Thriller""]","Forced into a deadly cat-and-mouse game, a disgraced mixed martial arts fighter is hunted through the jungles of Southeast Asia.",0.54063493
2,1,"The Boy, the Mole, the Fox and the Horse","[""Animation"", ""Family"", ""Drama"", ""Adventure""]","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",0.5567659
2,2,Balto: Wolf Quest,"[""Family"", ""Animation"", ""Adventure""]",Balto and his daughter Aleu embark on a journey of adventure and self discovery.,0.5747944
2,3,Turkish for Beginners,"[""Comedy""]","During an emergency landing on a deserted island suddenly traumatized by antiauthoritarian education Lena Schneider together with the Turkish Super Macho Cem Öztürk must fight for survival. After initially Cem macho repulsive acts on Lena, a jellyfish in the water and sand in a bikini, she recognizes the time the romantic core behind his cool facade. Meanwhile, meet also their parents, who obdurate psychologist Doris and Metin Öztürk to work together to find their missing children. So both generations take an involuntary Turkish Basic Course for beginners.",0.57518756
2,4,The Rugrats Movie,"[""Adventure"", ""Animation"", ""Comedy"", ""Family""]","The Pickles family welcome a new arrival, Dil, whose constant crying and need for attention quickly exhaust the other toddlers. Seeking to return the ""broken"" baby to the hospital, the gang embarks on a journey in a Reptar Wagon that inadvertently veers off course, leaving them stranded in a vast, dangerous forest. While facing off against escaped circus monkeys and a predatory wolf, Tommy must overcome his own resentment to protect his brother and make it back home.",0.5753975
2,5,Free Willy,"[""Family"", ""Adventure"", ""Drama""]","When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",0.57687426
3,1,The Children,"[""Horror"", ""Mystery"", ""Thriller""]",A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.,0.5297996
3,2,Speak No Evil,"[""Horror"", ""Thriller""]","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",0.55199295
3,3,El Camino Christmas,"[""Comedy"", ""Crime"", ""Drama""]","A young man seeking a father he has never met, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve in the fictitious town of El Camino, NV.",0.5558236
3,4,Let It Snow,"[""Romance"", ""Comedy""]","In a small town on Christmas Eve, a snowstorm brings together a group of young people. They soon find their friendships and love lives colliding, and come Christmas morning, nothing will be the same.",0.5566081
3,5,Almost Christmas,"[""Comedy"", ""Drama""]",A dysfunctional family gathers together for their first Christmas since the death of their matriarch.,0.56508636
4,1,Mamma Roma,"[""Drama""]","After years spent working as a prostitute in her Italian village, middle-aged Mamma Roma has saved enough money to buy herself a fruit stand so that she can have a respectable middle-class life and reestablish contact with the 16-year-old son she abandoned when he was an infant. But her former pimp threatens to expose her sordid past, and her troubled son seems destined to fall into a life of crime and violence.",0.5389607
4,2,Happy as Lazzaro,"[""Drama"", ""Fantasy""]","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise’s son will change his world.",0.5397332
4,3,How to Be a Latin Lover,"[""Comedy""]",An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,0.54509205
4,4,At War for Love,"[""War"", ""Drama"", ""Comedy"", ""Romance""]","It's 1943 and World War II is raging in Europe. In New York, Arturo and Flora the daughter of a restaurant owner are in love, but she is promised in marriage to the son of a Mafia boss. There is a way around this, but to be able to marry Flora, Arturo needs to get permission from her father, who lives in a village in Sicily. Arturo doesn't have any money, so the only way he can get to Sicily is to enlist in the U.S. Army, which is preparing for a landing on the island.",0.54929215
4,5,Eye for an Eye,"[""Drama"", ""Thriller"", ""Crime""]","Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.",0.5569759
5,1,Don't Knock Twice,"[""Horror""]",A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,0.5218446
5,2,The Messengers,"[""Mystery"", ""Thriller"", ""Horror""]","When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",0.5229296
5,3,The Hole in the Ground,"[""Horror""]","Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.",0.5231506
5,4,Annabelle,"[""Horror""]",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,0.52767426
5,5,The Boogeyman,"[""Horror""]","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.",0.528841
6,1,Wonder Woman 1984,"[""Action"", ""Adventure"", ""Fantasy""]",A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,0.5317698
6,2,Megamind,"[""Animation"", ""Action"", ""Comedy"", ""Family"", ""Science Fiction""]","After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",0.5413368
6,3,Justice League,"[""Action"", ""Adventure"", ""Science Fiction""]","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",0.5416871
6,4,Justice League: Crisis on Two Earths,"[""Action"", ""Adventure"", ""Animation"", ""Science Fiction"", ""Fantasy""]","A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman's counterpart Owlman, puts the balance of all existence in peril.",0.5422191
6,5,Justice League Dark: Apokolips War,"[""Animation"", ""Action"", ""Adventure"", ""Fantasy""]","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",0.54411495
7,1,Alien: Romulus,"[""Horror"", ""Science Fiction""]","While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",0.506029
7,2,Beneath the Planet of the Apes,"[""Adventure"", ""Science Fiction"", ""Mystery""]","The sole survivor of an interplanetary rescue mission lands on the planet of the apes, and uncovers a horrible secret beneath the surface.",0.5169514
7,3,Godzilla: Planet of the Monsters,"[""Animation"", ""Action"", ""Science Fiction""]","A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.",0.526669
7,4,The Predator,"[""Science Fiction"", ""Action"", ""Thriller""]","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",0.5285129
7,5,Stowaway,"[""Science Fiction"", ""Drama"", ""Thriller""]",A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,0.5291729
8,1,The Killer,"[""Crime"", ""Thriller""]","After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",0.53179973
8,2,Fight or Flight,"[""Action"", ""Comedy"", ""Thriller""]",A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,0.5329968
8,3,Babylon A.D.,"[""Action"", ""Adventure"", ""Science Fiction"", ""Thriller""]",A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,0.53427345
8,4,Final Score,"[""Action"", ""Thriller"", ""Adventure"", ""Drama""]","When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.",0.53511924
8,5,RED 2,"[""Action"", ""Comedy"", ""Crime"", ""Thriller""]",Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,0.53519875
9,1,The Getaway,"[""Action"", ""Crime"", ""Thriller""]",A recently released ex-convict and his loyal wife go on the run after a heist goes wrong.,0.5054628
9,2,Stretch,"[""Action"", ""Comedy"", ""Thriller""]",A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.,0.5100226
9,3,The Getaway,"[""Action"", ""Crime"", ""Mystery"", ""Thriller""]",An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,0.51212764
9,4,Pusher,"[""Action"", ""Crime"", ""Drama""]",A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,0.5161768
9,5,Lethal Weapon,"[""Action"", ""Thriller"", ""Crime""]",A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.,0.5164186
10,1,A Hard Day,"[""Crime"", ""Thriller"", ""Mystery"", ""Action""]","After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.",0.50312316
10,2,Nightwatch,"[""Drama"", ""Horror"", ""Mystery"", ""Thriller""]",A law student takes a job as a night watchman at a morgue and begins to discover clues that implicate him as the suspect in a series of murders.,0.50510615
10,3,The New York Ripper,"[""Horror"", ""Crime"", ""Thriller"", ""Mystery""]",A burned-out New York police detective teams up with a college psychoanalyst to track down a vicious serial killer randomly stalking and killing various young women around the city.,0.5060531
10,4,Blood Work,"[""Thriller"", ""Crime"", ""Action"", ""Mystery""]","Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",0.5123078
10,5,The Collini Case,"[""Drama"", ""Thriller""]",A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,0.5131991
11,1,Closer,"[""Drama"", ""Romance""]",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,0.514402
11,2,The Spirit of Christmas,"[""Romance"", ""Drama"", ""Fantasy"", ""TV Movie""]",A woman falls in love with a man who is somewhat unavailable.,0.53844017
11,3,The Lady from Shanghai,"[""Mystery"", ""Crime"", ""Thriller"", ""Drama""]",A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,0.53948176
11,4,Picture Perfect,"[""Romance"", ""Comedy"", ""Drama""]","A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",0.53952324
11,5,Spread,"[""Comedy"", ""Romance""]",A gigolo must contend with the prospect that he has found true love.,0.5405168
12,1,A Star Is Born,"[""Drama"", ""Music"", ""Romance""]","A movie star helps a young singer-actress find fame, even as age and alcoholism send his own career into a downward spiral.",0.5092866
12,2,We Are Your Friends,"[""Drama"", ""Music"", ""Romance"", ""Comedy""]","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",0.55636215
12,3,Beyond the Universe,"[""Romance"", ""Drama"", ""Music""]","While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.",0.5568036
12,4,Apartment 7A,"[""Horror"", ""Thriller""]","A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",0.5580621
12,5,The Fabulous Baker Boys,"[""Comedy"", ""Drama"", ""Music"", ""Romance""]","The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",0.568064
13,1,Lost and Delirious,"[""Drama"", ""Romance""]","After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.",0.5264415
13,2,Handsome Devil,"[""Drama"", ""Comedy""]",A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,0.5274568
13,3,Do Revenge,"[""Comedy"", ""Thriller"", ""Romance""]",A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,0.528428
13,4,Dude,"[""Comedy""]",Four best friends negotiate loss and major life changes during the last two weeks of high school.,0.53697
13,5,Love Hurts,"[""Drama"", ""Romance""]",Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.,0.5378168
