cluster,rank,title,genres,overview,hdbscan_probability,centroid_distance
0,1,Code 8 Part II,"[""Science Fiction"", ""Action"", ""Crime""]","In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",1.0,0.5480062
0,2,Total Recall,"[""Action"", ""Science Fiction"", ""Thriller""]","Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",0.96551360743604,0.55428326
0,3,Time Lapse,"[""Thriller"", ""Science Fiction"", ""Mystery"", ""Horror""]","Three friends discover a mysterious machine that takes pictures 24 hours into the future and conspire to use it for personal gain, until disturbing and dangerous images begin to develop.",1.0,0.55436
0,4,THX 1138,"[""Science Fiction"", ""Drama""]",People in the future live in a totalitarian society. A technician named THX 1138 lives a mundane life between work and taking a controlled consumption of drugs that the government uses to make puppets out of people. As THX is without drugs for the first time he has feelings for a woman and they start a secret relationship.,1.0,0.55697757
0,5,Surrogates,"[""Science Fiction"", ""Action"", ""Thriller""]","Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",1.0,0.5572343
1,1,Dragon,"[""Drama"", ""Action"", ""Thriller""]","A sinful martial arts expert wants to start a new tranquil life, only to be hunted by a determined detective and his former master.",1.0,0.49769858
1,2,Ip Man: The Final Fight,"[""Action"", ""Drama""]",Ip Man reluctantly begins a series of challenges from rival kung fu schools and is soon drawn into the dark and dangerous world of the Triads.,1.0,0.52091867
1,3,Fist of Fury,"[""Drama"", ""Action"", ""Thriller""]","During the Japanese occupation of Shanghai, Chen Zhen, the star pupil of a recently-deceased martial arts teacher battles a Japanese dojo which seeks the demise of his fighting school.",1.0,0.5218158
1,4,Fearless,"[""Drama"", ""Action""]","After going through a series of tragic events in his life, martial arts master Huo Yuanjia returns to Tianjin and must fight four international soldiers, in order to safeguard his nation's pride.",1.0,0.5239406
1,5,Hard Target 2,"[""Action"", ""Thriller""]","Forced into a deadly cat-and-mouse game, a disgraced mixed martial arts fighter is hunted through the jungles of Southeast Asia.",1.0,0.52623755
2,1,"The Boy, the Mole, the Fox and the Horse","[""Animation"", ""Family"", ""Drama"", ""Adventure""]","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",1.0,0.5574074
2,2,The Land Before Time IV: Journey Through the Mists,"[""Adventure"", ""Animation"", ""Comedy"", ""Family""]","Littlefoot’s grandfather falls gravely ill, and the only hope for his recovery is the ""Golden Night Flower"" found in the treacherous Land of the Mists. Along with his loyal friends, Littlefoot embarks on a journey to retrieve the cure, joined by a shy newcomer named Ali, a long-necked dinosaur from a migrating herd. As they navigate the foggy, swamp-filled terrain, they are hunted by a pair of predators—a sharp-eyed bird and a massive crocodile—and must overcome their mistrust of the unfamiliar environment.",0.9400618078573671,0.5761358
2,3,The Rugrats Movie,"[""Adventure"", ""Animation"", ""Comedy"", ""Family""]","The Pickles family welcome a new arrival, Dil, whose constant crying and need for attention quickly exhaust the other toddlers. Seeking to return the ""broken"" baby to the hospital, the gang embarks on a journey in a Reptar Wagon that inadvertently veers off course, leaving them stranded in a vast, dangerous forest. While facing off against escaped circus monkeys and a predatory wolf, Tommy must overcome his own resentment to protect his brother and make it back home.",1.0,0.57621807
2,4,Free Willy,"[""Family"", ""Adventure"", ""Drama""]","When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",1.0,0.57750237
2,5,Return to Nim's Island,"[""Family"", ""Adventure""]","Fourteen year old Nim, more determined than ever to protect her island and all the wildlife that call it home, faces off against resort developers and animal poachers. Soon she realizes she can’t depend on her animal cohorts alone and must make her first human friend – Edmund, who’s run away to the island from the mainland – to save her home.",1.0,0.5776716
3,1,The Children,"[""Horror"", ""Mystery"", ""Thriller""]",A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.,1.0,0.49530634
3,2,Let It Snow,"[""Romance"", ""Comedy""]","In a small town on Christmas Eve, a snowstorm brings together a group of young people. They soon find their friendships and love lives colliding, and come Christmas morning, nothing will be the same.",1.0,0.5203661
3,3,Love the Coopers,"[""Comedy"", ""Family"", ""Drama""]","When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",1.0,0.53953886
3,4,The Grinch,"[""Animation"", ""Comedy"", ""Family"", ""Fantasy""]",The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,1.0,0.541479
3,5,Unaccompanied Minors,"[""Family"", ""Comedy""]",Five disparate kids snowed in at the airport on Christmas Eve learn some lessons about friendship when they launch a bid to get back to their families and outsmart a disgruntled airport official who wants to keep them grounded.,1.0,0.5437936
4,1,Happy as Lazzaro,"[""Drama"", ""Fantasy""]","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise’s son will change his world.",1.0,0.51432997
4,2,Welcome Mr. President!,"[""Comedy""]","In a small mountain village lives a man with a challenging name, Giuseppe Garibaldi (one of Italy's ""fathers of the fatherland""), but everybody call him with the nickname Peppino. Love fishing, the company of friends, the library where he works as a precarious employee. He is an optimistic person even if his child accuse him of being a wannabe. One day, due to a mess of politicians, an amazing thing happens: Peppino is mistakenly elected President of the Italian Republic. Pulled out from his quiet life, is to play a role for which he knows he is obviously inappropriate, but his common sense and his instinctive gestures are incredibly effective, except for the etiquette, for which he is in trouble. The inflexible and fascinating Deputy Secretary General of the Presidency of the Republic, Janis Clementi, is anxious to no avail in an attempt to regulate the unpredictable actions of the President...",1.0,0.52532905
4,3,At War for Love,"[""War"", ""Drama"", ""Comedy"", ""Romance""]","It's 1943 and World War II is raging in Europe. In New York, Arturo and Flora the daughter of a restaurant owner are in love, but she is promised in marriage to the son of a Mafia boss. There is a way around this, but to be able to marry Flora, Arturo needs to get permission from her father, who lives in a village in Sicily. Arturo doesn't have any money, so the only way he can get to Sicily is to enlist in the U.S. Army, which is preparing for a landing on the island.",1.0,0.5304556
4,4,I'm Starting from Three,"[""Comedy""]","Gaetano, a young Neapolitan, decides to leave home, work and friends, to look for other moments of life and meet other people.",1.0,0.5435757
4,5,"Bianco, rosso e Verdone","[""Comedy""]","Three Italians travel to their hometown to vote for elections: Pasquale is a Southern immigrant living in Munich who's genuinely happy to come back to Italy, even if just for a few days, but the country he dreams of is far from reality; Furio travels to Rome with his family, but his niggling attitude threatens to push his wife Magda over the edge; young Mimmo is also going to Rome, but the trip is repeatedly interrupted by worries about his grandma's health.",1.0,0.5440291
5,1,Annabelle,"[""Horror""]",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,1.0,0.5046688
5,2,The Messengers,"[""Mystery"", ""Thriller"", ""Horror""]","When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",1.0,0.51015615
5,3,Don't Knock Twice,"[""Horror""]",A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,0.9257864969524958,0.5158637
5,4,Beetlejuice,"[""Fantasy"", ""Comedy""]",A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,1.0,0.51766306
5,5,A Nightmare on Elm Street,"[""Horror""]","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1.0,0.5211522
6,1,Wonder Woman 1984,"[""Action"", ""Adventure"", ""Fantasy""]",A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,1.0,0.52440447
6,2,Justice League,"[""Action"", ""Adventure"", ""Science Fiction""]","Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",1.0,0.5246161
6,3,Justice League Dark: Apokolips War,"[""Animation"", ""Action"", ""Adventure"", ""Fantasy""]","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",1.0,0.5313548
6,4,Justice League: Crisis on Two Earths,"[""Action"", ""Adventure"", ""Animation"", ""Science Fiction"", ""Fantasy""]","A heroic version of Lex Luthor from an alternate universe appears to recruit the Justice League to help save his Earth from the Crime Syndicate, an evil version of the League. What ensues is the ultimate battle of good versus evil in a war that threatens both planets and, through a devious plan launched by Batman's counterpart Owlman, puts the balance of all existence in peril.",1.0,0.53382397
6,5,Megamind,"[""Animation"", ""Action"", ""Comedy"", ""Family"", ""Science Fiction""]","After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",1.0,0.5383013
7,1,Alien: Romulus,"[""Horror"", ""Science Fiction""]","While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",1.0,0.49622855
7,2,Beneath the Planet of the Apes,"[""Adventure"", ""Science Fiction"", ""Mystery""]","The sole survivor of an interplanetary rescue mission lands on the planet of the apes, and uncovers a horrible secret beneath the surface.",1.0,0.5094905
7,3,Stowaway,"[""Science Fiction"", ""Drama"", ""Thriller""]",A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,1.0,0.5233722
7,4,Escape from Planet Earth,"[""Animation"", ""Comedy"", ""Adventure"", ""Family"", ""Science Fiction""]",Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,1.0,0.5245092
7,5,The Predator,"[""Science Fiction"", ""Action"", ""Thriller""]","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",0.7025140523742683,0.52723986
8,1,Fight or Flight,"[""Action"", ""Comedy"", ""Thriller""]",A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,1.0,0.51982415
8,2,RED 2,"[""Action"", ""Comedy"", ""Crime"", ""Thriller""]",Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,1.0,0.5209822
8,3,Heart of Stone,"[""Action"", ""Crime"", ""Thriller""]",An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,1.0,0.5222452
8,4,The Killer,"[""Crime"", ""Thriller""]","After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal.",0.8933688908149988,0.5268745
8,5,Ava,"[""Action"", ""Thriller"", ""Crime""]",A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,0.8933688908149988,0.5327007
9,1,Lethal Weapon,"[""Action"", ""Thriller"", ""Crime""]",A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.,1.0,0.49475315
9,2,The Getaway,"[""Action"", ""Crime"", ""Thriller""]",A recently released ex-convict and his loyal wife go on the run after a heist goes wrong.,0.9842643968825376,0.50135106
9,3,The Getaway,"[""Action"", ""Crime"", ""Mystery"", ""Thriller""]",An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,0.9842643968825376,0.5064292
9,4,Stretch,"[""Action"", ""Comedy"", ""Thriller""]",A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.,0.9842643968825376,0.5096442
9,5,Hard Boiled,"[""Action"", ""Thriller"", ""Crime""]",A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.,1.0,0.5151877
10,1,The New York Ripper,"[""Horror"", ""Crime"", ""Thriller"", ""Mystery""]",A burned-out New York police detective teams up with a college psychoanalyst to track down a vicious serial killer randomly stalking and killing various young women around the city.,1.0,0.48852766
10,2,Nightwatch,"[""Drama"", ""Horror"", ""Mystery"", ""Thriller""]",A law student takes a job as a night watchman at a morgue and begins to discover clues that implicate him as the suspect in a series of murders.,1.0,0.49412525
10,3,Righteous Kill,"[""Crime"", ""Thriller"", ""Mystery""]","Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?",1.0,0.4986155
10,4,The Collini Case,"[""Drama"", ""Thriller""]",A young lawyer stumbles upon a vast conspiracy while investigating a brutal murder case.,0.8011072455169286,0.500629
10,5,A Hard Day,"[""Crime"", ""Thriller"", ""Mystery"", ""Action""]","After trying to cover up a car accident that left a man dead, a crooked homicide detective is stalked by a mysterious man claiming to have witnessed the event.",1.0,0.50085866
11,1,Closer,"[""Drama"", ""Romance""]",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,0.9995733812578467,0.49851042
11,2,Spread,"[""Comedy"", ""Romance""]",A gigolo must contend with the prospect that he has found true love.,0.8980561939672368,0.5220657
11,3,The Spirit of Christmas,"[""Romance"", ""Drama"", ""Fantasy"", ""TV Movie""]",A woman falls in love with a man who is somewhat unavailable.,1.0,0.52226377
11,4,Picture Perfect,"[""Romance"", ""Comedy"", ""Drama""]","A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",1.0,0.52392757
11,5,The Lady from Shanghai,"[""Mystery"", ""Crime"", ""Thriller"", ""Drama""]",A romantic drifter gets caught between a corrupt tycoon and his voluptuous wife.,0.8770613432651511,0.5276015
12,1,A Star Is Born,"[""Drama"", ""Music"", ""Romance""]","A movie star helps a young singer-actress find fame, even as age and alcoholism send his own career into a downward spiral.",1.0,0.49814346
12,2,The Fabulous Baker Boys,"[""Comedy"", ""Drama"", ""Music"", ""Romance""]","The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",1.0,0.5328433
12,3,Apartment 7A,"[""Horror"", ""Thriller""]","A struggling young dancer finds herself drawn in by dark forces when a peculiar, well-connected older couple promise her a shot at fame.",1.0,0.539912
12,4,We Are Your Friends,"[""Drama"", ""Music"", ""Romance"", ""Comedy""]","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",1.0,0.5407772
12,5,Beyond the Universe,"[""Romance"", ""Drama"", ""Music""]","While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.",1.0,0.5504602
13,1,Do Revenge,"[""Comedy"", ""Thriller"", ""Romance""]",A dethroned queen bee at a posh private high school strikes a secret deal with an unassuming new student to enact revenge on one another’s enemies.,1.0,0.5123365
13,2,Lost and Delirious,"[""Drama"", ""Romance""]","After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.",1.0,0.5180106
13,3,Love Hurts,"[""Drama"", ""Romance""]",Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.,1.0,0.52154374
13,4,Sierra Burgess Is a Loser,"[""Comedy"", ""Drama"", ""Romance""]",A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,1.0,0.5221709
13,5,Handsome Devil,"[""Drama"", ""Comedy""]",A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,0.9152019808415698,0.52624977
