cluster,rank,movie_position,title,overview,centroid_similarity
0,1,6686,Black Box,"After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",0.8356142044067383
0,2,1937,The Eighth Day,"Georges has Down syndrome, living at a mental-institution, Harry is a busy businessman, giving lectures for young aspiring salesmen. He is successful in his business life, but his social life is a disaster since his wife left him and took their two children with her. This weekend his children came by train to meet him, but Harry, working as always, forgot to pick them up. Neither his wife or his children want to see him again and he is driving around on the country roads, anguished and angry. He almost runs over Georges, on the run from the institution since everybody else went home with their parents except him, whose mother is dead. Harry tries to get rid of Georges but he won't leave his new friend. Eventually a special friendship forms between the two of them, a friendship which makes Harry a different person.",0.8321715593338013
0,3,854,Kabhi Khushi Kabhie Gham,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",0.8313910961151123
0,4,9519,The Do-Over,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,0.8310889005661011
0,5,4263,About Schmidt,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",0.8282796740531921
0,6,2758,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,0.8279342651367188
0,7,4109,How to Be a Latin Lover,An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,0.826898455619812
0,8,1725,The Peanut Butter Falcon,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,0.8267679214477539
0,9,9005,Sweet Virginia,"A former rodeo star, now a motel manager, meets a young man who is responsible for the violence that suddenly has seized his small town.",0.8266804218292236
0,10,454,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,0.8256443738937378
1,1,92,"The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",0.8358340263366699
1,2,8845,The Package,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",0.827998697757721
1,3,8462,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,0.8249702453613281
1,4,7690,Free Willy,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",0.8247952461242676
1,5,7116,Mandibles,"When two simple-minded best friends find a giant fly trapped in the trunk of a stolen car, they decide to train it in hopes of striking it rich.",0.8236335515975952
1,6,530,Stand by Me,"After learning that a boy their age has been accidentally killed near their rural homes, four boys decide to go see the body. Gordie, Vern, Chris, and Teddy encounter a mean junk man and a marsh full of leeches, but they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",0.8222391605377197
1,7,7527,The Rugrats Movie,"The Pickles family welcome a new arrival, Dil, whose constant crying and need for attention quickly exhaust the other toddlers. Seeking to return the ""broken"" baby to the hospital, the gang embarks on a journey in a Reptar Wagon that inadvertently veers off course, leaving them stranded in a vast, dangerous forest. While facing off against escaped circus monkeys and a predatory wolf, Tommy must overcome his own resentment to protect his brother and make it back home.",0.8221701383590698
1,8,4383,Good Boys,A group of young boys on the cusp of becoming teenagers embark on an epic quest to fix their broken drone before their parents get home.,0.8195469379425049
1,9,6933,The Last Mimzy,"Two siblings begin to develop special talents after they find a mysterious box of toys, and soon their parents and even their teacher are drawn into a strange new world – and find a task ahead of them that is far more important than any of them could imagine.",0.8195120692253113
1,10,9069,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",0.8190636038780212
2,1,8195,Final Score,"When a stadium is seized by a group of heavily armed criminals during a major sporting event, an ex-soldier must use all his military skills to save both the daughter of a fallen comrade and the huge crowd unaware of the danger.",0.8416736125946045
2,2,3162,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",0.8315845727920532
2,3,9627,Babylon A.D.,A veteran-turned-mercenary is hired to take a young woman with a secret from post-apocalyptic Eastern Europe to New York City.,0.8315317630767822
2,4,7535,Mile 22,"An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city.",0.8286930322647095
2,5,6790,Freelance,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.",0.8278418183326721
2,6,7207,Saints and Soldiers,Five American soldiers fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.,0.8260560035705566
2,7,2038,Sisu: Road to Revenge,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",0.8251463174819946
2,8,3820,No Escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape in an environment where foreigners are being immediately executed.",0.8249160051345825
2,9,9637,Fortress,"The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound, hellbent on revenge on Robert, forcing the retired officer and his son to save the day.",0.8244948387145996
2,10,4905,Badland Hunters,"After a deadly earthquake turns Seoul into a lawless badland, a fearless huntsman springs into action to rescue a teenager abducted by a mad doctor.",0.8233059644699097
3,1,9717,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",0.8537650108337402
3,2,6799,Godzilla: Planet of the Monsters,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.",0.8452955484390259
3,3,5557,Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Drej are bent on mankind's destruction.",0.8433998227119446
3,4,5485,Alienoid: Return to the Future,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.",0.837761640548706
3,5,3054,The Old Guard,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,0.8367222547531128
3,6,7810,Ben 10: Alien Swarm,Ben and a mysterious girl from his past must prevent an alien threat from destroying the world.,0.8365482091903687
3,7,6835,Wonder Woman 1984,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,0.8348126411437988
3,8,807,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",0.8339709043502808
3,9,4697,Alienoid,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",0.8292152285575867
3,10,7180,Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,0.8285447955131531
4,1,2196,Lethal Weapon,A veteran cop and an unstable detective become partners who must put their differences aside in order to bring down a heroin-smuggling ring run by ex-Special Forces.,0.8688957691192627
4,2,5881,I Am All Girls,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,0.8647719621658325
4,3,8119,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",0.8595821261405945
4,4,9297,The Getaway,An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,0.8583391904830933
4,5,2905,The Getaway,A recently released ex-convict and his loyal wife go on the run after a heist goes wrong.,0.8552243709564209
4,6,1196,Hard Boiled,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In order to get closer to the leaders of the ring he joins forces with an undercover cop who's working as a gangster hitman. They use all means of excessive force to find them.,0.8532798886299133
4,7,6764,The Man from Toronto,A case of mistaken identity forces a bumbling entrepreneur to team up with a notorious assassin known as The Man from Toronto in hopes of staying alive.,0.8514842391014099
4,8,5272,22 Bullets,A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.,0.8502198457717896
4,9,9149,Marauders,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,0.8502084016799927
4,10,7888,Cobra,A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,0.8488794565200806
5,1,4403,Closer,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,0.8615079522132874
5,2,4595,Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,0.8445109724998474
5,3,270,Love Hurts,Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.,0.8429559469223022
5,4,725,Ali: Fear Eats the Soul,"Emmi Kurowski, a cleaning lady, is lonely in her old age. Her husband died years ago, and her grown children offer little companionship. One night she goes to a bar frequented by Arab immigrants and strikes up a friendship with middle-aged mechanic Ali. Their relationship soon develops into something more, and Emmi's family and neighbors criticize their spontaneous marriage. Soon Emmi and Ali are forced to confront their own insecurities about their future.",0.8418833017349243
5,5,3032,Punch-Drunk Love,A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,0.8409966230392456
5,6,1494,Kal Ho Naa Ho,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,0.8407793641090393
5,7,3499,The Spirit of Christmas,A woman falls in love with a man who is somewhat unavailable.,0.8390611410140991
5,8,9113,Picture Perfect,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",0.8383194208145142
5,9,7956,Maid in Manhattan,"Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day, hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together, the two fall madly in love. But when Marisa's true identity is revealed, issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?",0.8367213010787964
5,10,2183,A Place in the Sun,A young social climber wins the heart of a beautiful heiress but his former girlfriend's pregnancy stands in the way of his ambition.,0.8362019062042236
6,1,9320,Viking Wolf,"After witnessing a grotesque murder at a party in her new town, a teenager starts having strange visions and bizarre desires.",0.8533165454864502
6,2,9660,The Hole in the Ground,"Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.",0.8530170917510986
6,3,9949,Don't Knock Twice,A mother desperate to reconnect with her troubled daughter becomes embroiled in the urban legend of a demonic witch.,0.8503761887550354
6,4,1939,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",0.8494438529014587
6,5,9427,The Messengers,"When the Solomons trade in the craziness of big-city life for the quiet of a North Dakota farm, little do they expect the nightmare that follows. Soon after arriving, teenage Jess and her younger brother see terrifying apparitions and endure attacks from a supernatural source. Jess must warn her disbelieving family before it is too late to save them.",0.8484280705451965
6,6,9307,Annabelle,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,0.847532331943512
6,7,4430,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",0.8468941450119019
6,8,8494,The Silence,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",0.846093475818634
6,9,7768,The Empty Man,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",0.8453394174575806
6,10,719,The Exorcist,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",0.8452488780021667
